id,street,city,state,zip
106,40469 MARCIA ST,Fremont,CA,94538
107,496 HALE AVE,Oakland,CA,94603
108,3409 CALIFORNIA ST,Oakland,CA,94608
109,1723 CENTRAL AVE,Alameda,CA,94501
110,16 INDIAN ROCK PATH,Berkeley,CA,94707
111,2701   10TH AVE,Oakland,CA,94606
112,6737 NORMANDY DR,Newark,CA,94560
113,5164 SHAFTER AVE,Oakland,CA,94618
114,6 WILLET CT,Alameda,CA,94501
115,419 BONITA AVE,Pleasanton,CA,94566
116,4726 NICOLET AVE,Fremont,CA,94536
117,1021 MARTIN BLVD,San Leandro,CA,94577
118,5246 HEBRIDES CT,Newark,CA,94560
119,40652 CANYON HEIGHTS DR,Fremont,CA,94539
120,2307  109TH AVE,Oakland,CA,94603
121,5427 LOCKSLEY AVE,Oakland,CA,94618
122,5255 REEDER CT,Fremont,CA,94536
123,5996 OCEAN HILLS WAY,Livermore,CA,94551
124,43667 SOUTHERLAND WAY,Fremont,CA,94539
125,36703 ASH ST,Newark,CA,94560
126,7129 HAMILTON ST,Oakland,CA,94621
127,1864 LINDEN ST,Livermore,CA,94551
128,5936 SINGING HILLS AVE,Livermore,CA,94551
129,31901 CHICOINE AVE,Hayward,CA,94544
130,4125 MAYBELLE AVE,Oakland,CA,94619
131,5323 NORDICA AVE,Fremont,CA,94536
132,3083 MALCOLM AVE,Oakland,CA,94605
133,773 GALLEGOS TER,Fremont,CA,94539
134,34360 FREMONT BLVD,Fremont,CA,94555
135,2600 MONTICELLO AVE,Oakland,CA,94619
136,17224 PRESIDENT DR,Castro Valley,CA,94546
137,555 SIMON ST,Hayward,CA,94541
138,15370 INVERNESS ST,San Leandro,CA,94579
139,27349 DOBBEL AVE,Hayward,CA,94542
140,6629 DAIRY AVE,Newark,CA,94560
141,7639 RIDGELINE DR,Castro Valley,,94552
142,1126   91ST AVE,Oakland,CA,94603
143,26604 CORPORATE AVE,Hayward,CA,94545
144,619 POIRIER ST,Oakland,CA,94609
145,32980 LAKE WAWASEE ST,Fremont,CA,94555
146,20048 LAURELWOOD DR,Castro Valley,CA,94552
147,5 CANYONS PKWY,Castro Valley,,94552
148,1409 LEMOS LN,Fremont,CA,94539
149,32772 PULASKI DR,Hayward,CA,94544
150,37181 DONDERO WAY,Fremont,CA,94536
151,2821 CLAREMONT BLVD,Berkeley,CA,94705
152,15675 MONTREAL ST,San Leandro,CA,94579
153,24 JOAQUIN MILLER CT,Oakland,CA,94611
154,14534 WAKE AVE,San Leandro,CA,94578
155,3912 LYMAN RD,Oakland,CA,94602
156,4056 CARIBBEAN CMN,Fremont,CA,94555
157,6432 INGLEWOOD DR,Pleasanton,CA,94588
158,31361 SAN BRUNO CT,Union City,CA,94587
159,3042 CALLAGHAN ST,Livermore,CA,94551
160,4172 HANFORD ST,Union City,CA,94587
161,2734 DRIFTWOOD ST,Hayward,CA,94545
162,2507 ANCONA CIR,Livermore,CA,94550
163,22357 PERALTA ST,Hayward,CA,94541
164,1800 BROADWAY,Alameda,CA,94501
165,32872 BASS LAKE ST,Fremont,CA,94555
166,1019 ADDISON ST,Berkeley,CA,94710
167,633 ATHOL AVE,Oakland,CA,94610
168,45101 COUGAR CIR,Fremont,CA,94539
169,1238 BELLEAU ST,San Leandro,CA,94579
170,1057 MINERVA ST,San Leandro,CA,94577
171,645 ORIOLE AVE,Livermore,CA,94551
172,2207 DERBY ST,Berkeley,CA,94704
173,5558 GOLD CREEK DR,Castro Valley,CA,94552
174,2240 PARK ST,Livermore,CA,94551
175,3908 PETRIFIED FOREST CT,Pleasanton,CA,94588
176,38819 BUCKBOARD CMN,Fremont,CA,94536
177,932   69TH AVE,Oakland,CA,94621
178,1144 MATARO CT,Pleasanton,CA,94566
179,2915   76TH AVE,Oakland,CA,94605
180,5774 HIGHWOOD RD,Castro Valley,CA,94552
181,370 HOLLISTER AVE,Alameda,CA,94501
182,2093 HILL AVE,Hayward,CA,94541
183,2212   19TH AVE,Oakland,CA,94606
184,3053 HILLEGASS AVE,Berkeley,CA,94705
185,1050 MASONIC AVE,Albany,CA,94706
186,27528 CAPRI AVE,Hayward,CA,94545
187,18966 SANTA MARIA AVE,Castro Valley,CA,94546
188,1289 BURKHART AVE,San Leandro,CA,94579
189,25 LAKE AVE,Piedmont,CA,94611
190,33520 WESTERN AVE,Union City,CA,94587
191,32446 LAKE BERRYESSA DR,Fremont,CA,94555
192,4463 SLOAT RD,Fremont,CA,94538
193,1511 WELFORD CIR,Hayward,CA,94544
194,44958 WINDING LN,Fremont,CA,94539
195,1276 DAILY DR,San Leandro,CA,94577
196,1639 ESTUDILLO AVE,San Leandro,CA,94577
197,37249 TOWERS WAY,Fremont,CA,94536
198,3524 INTERNATIONAL BLVD,Oakland,CA,94601
199,4347 SOLANO WAY,Union City,CA,94587
200,934 IROQUOIS AVE,Livermore,CA,94551
201,4134 JACINTO DR,Fremont,CA,94536
202,8267 SKYLINE CIR,Oakland,CA,94605
203,9237 KLEMETSON DR,Pleasanton,CA,94588
204,1384 VALDEZ WAY,Fremont,CA,94539
205,2646 BECARD CT,Pleasanton,CA,94566
206,322 SAINT JAMES DR,Piedmont,CA,94610
207,2014 CHIPLAY CT,Hayward,CA,94545
208,3465 BRUNELL DR,Oakland,CA,94619
209,6507 HANSEN DR,Pleasanton,CA,94566
210,5955 CORTE ARBOLES,Pleasanton,CA,94566
211,4425 TALLE WAY,Dublin,CA,94568
212,2617 MARTIN LUTHER KING JR WAY,Berkeley,CA,94704
213,4467 SHEARWATER CT,Pleasanton,CA,94566
214,8624 BEVERLY LN,Dublin,CA,94568
215,980 APGAR ST,Emeryville,CA,94608
216,1034   45TH ST,Emeryville,CA,94608
217,5701 CIVIC TERRACE AVE,Newark,CA,94560
218,32401 PALOMARES RD,Castro Valley,CA,94552
219,25509 INDUSTRIAL BLVD,Hayward,CA,94545
220,4041 FRUITVALE AVE,Oakland,CA,94602
221,2071 EVERGLADE ST,Hayward,CA,94545
222,788   47TH ST,Oakland,CA,94609
223,2824 FILLMORE ST,Alameda,CA,94501
224,36450 BUCKEYE ST,Newark,CA,94560
225,494 TYLER AVE,Livermore,CA,94550
226,7800 COOLIDGE CT,Castro Valley,CA,94552
227,4234 BLUE RIDGE ST,Fremont,CA,94536
228,1415 LAFAYETTE ST,Alameda,CA,94501
229,1632 PACIFIC AVE,Alameda,CA,94501
230,1616 BUENA VISTA AVE,Alameda,CA,94501
231,22032 ARBOR AVE,Hayward,CA,94541
232,59 VICENTE RD,Berkeley,CA,94705
233,32209 MINTURN CT,Union City,CA,94587
234,16162 CAROLYN ST,San Leandro,CA,94578
235,3217   38TH AVE,Oakland,CA,94619
236,35841 CABRILLO DR,Fremont,CA,94536
237,911   39TH AVE,Oakland,CA,94601
238,6222 BULLARD DR,Oakland,CA,94611
239,48894 SAUVIGNON CT,Fremont,CA,94539
240,47460 HOYT ST,Fremont,CA,94539
241,40467 VOGEL CT,Fremont,CA,94538
242,716 E 23RD ST,Oakland,CA,94606
243,37718 MADERA CT,Fremont,CA,94536
244,2588   61ST AVE,Oakland,CA,94605
245,2325 HUMBOLDT AVE,Oakland,CA,94601
246,11335 BLOOMINGTON WAY,Dublin,CA,94568
247,661 NEWBURY ST,Livermore,CA,94551
248,2733   67TH AVE,Oakland,CA,94605
249,1643   90TH AVE,Oakland,CA,94621
250,3451 PARK PL,Pleasanton,CA,94588
251,20651 BLOSSOM,Hayward,,94541
252,354 SHEPHERD AVE,Hayward,CA,94544
253,15553 LORENZO AVE,San Lorenzo,CA,94580
254,43464 COLUMBIA AVE,Fremont,CA,94538
255,6816 COLTON BLVD,Oakland,CA,94611
256,984 SPRUCE ST,Berkeley,CA,94707
257,17552 WALNUT RD,Castro Valley,CA,94546
258,1732 ROSE ST,Berkeley,CA,94703
259,4175 SEVEN HILLS RD,Castro Valley,CA,94546
260,1576 BUENA VISTA AVE,Alameda,CA,94501
261,1367 VIA FAISAN,San Lorenzo,CA,94580
262,25518 SOTO RD,Hayward,CA,94544
263,4378 ENTERPRISE ST,Fremont,CA,94538
264,3238 SAN PEDRO WAY,Union City,CA,94587
265,1654 CRESCENT AVE,Castro Valley,CA,94546
266,10206 ROYAL ANN ST,Oakland,CA,94603
267,1019 ORDWAY ST,Albany,CA,94706
268,4400 VINCENTE ST,Fremont,CA,94536
269,6550 ASCOT DR,Oakland,CA,94611
270,7606 HOLLY ST,Oakland,CA,94621
271,4748 PROCTOR RD,Castro Valley,CA,94546
272,38885 MARLIN TER,Fremont,CA,94536
273,28264 CARDINAL ST,Hayward,CA,94545
274,420 CRESPI PL,San Lorenzo,CA,94580
275,1122 E 18TH ST,Oakland,CA,94606
276,4952 ELLIOT CT,Fremont,CA,94536
277,3249 SANTA ISABELLA CT,Union City,CA,94587
278,957 HOLLICE LN,Livermore,CA,94550
279,2002 DALTON WAY,Union City,CA,94587
280,695 CONCORD PL,Pleasanton,CA,94566
281,6270 RUXTON CT,Pleasanton,CA,94588
282,608 MARIN AVE,Hayward,CA,94541
283,34880 SAUSALITO TER,Fremont,CA,94555
284,15380 SUNNYHAVEN ST,San Leandro,CA,94579
285,3668 EDGECOMB CT,Dublin,CA,94568
286,4120 RETTIG AVE,Oakland,CA,94602
287,6 MOSS LN,Emeryville,CA,94608
288,39716 BANYAN TREE RD,Fremont,CA,94538
289,2720 BONA ST,Oakland,CA,94601
290,504 JAYAR PL,Hayward,CA,94544
291,796 CARY DR,San Leandro,CA,94577
292,11018 ROBLEDO DR,San Leandro,,94577
293,834 STANNAGE AVE,Albany,CA,94706
294,1251 M L KING JR WAY,Berkeley,,94709
295,885 RODNEY DR,San Leandro,CA,94577
296,38847 LITCHFIELD CIR,Fremont,CA,94536
297,1311 I ST,Union City,CA,94587
298,2933 MCCLURE ST,Oakland,CA,94609
299,33743 RAILROAD AVE,Union City,CA,94587
300,841 OXFORD ST,Berkeley,CA,94707
301,1641 PRIMA DR,Livermore,CA,94550
302,2732 STUART ST,Berkeley,CA,94705
303,20011 SHADOW CREEK CIR,Castro Valley,CA,94552
304,1516 OAK ST,Alameda,CA,94501
305,607 LONGWOOD AVE,Hayward,CA,94541
306,375 OAKLAND AVE,Oakland,CA,94611
307,24269 SABEEN PL,Hayward,CA,94541
308,1847 FRANCISCO ST,Berkeley,CA,94703
309,32732 LAKE MEAD DR,Fremont,CA,94555
310,16100 MATEO ST,San Leandro,CA,94578
311,2455 CONSTELLATION DR,Hayward,CA,94545
312,698 VIA RIALTO,Oakland,CA,94619
313,3640 KAMP DR,Pleasanton,CA,94588
314,33527 STEPHANO CT,Fremont,CA,94555
315,9437 SUNNYSIDE ST,Oakland,CA,94603
316,1688  159TH AVE,San Leandro,CA,94578
317,866 ALMA PL,Oakland,CA,94610
318,1728 WARSAW AVE,Livermore,CA,94550
319,4098 BARNSLEY PL,Dublin,CA,94568
320,1738 E 24TH ST,Oakland,CA,94606
321,799 OVERHILL DR,Hayward,CA,94544
322,1169   64TH ST,Emeryville,CA,94608
323,2541 LAKEVIEW DR,San Leandro,CA,94577
324,1439   17TH AVE,Oakland,CA,94606
325,2558 HIGH ST,Oakland,CA,94601
326,1335 POST AVE,San Leandro,CA,94579
327,4111 HUNTINGTON ST,Oakland,CA,94619
328,3702 ALLENDALE AVE,Oakland,CA,94619
329,1043 KEITH AVE,Berkeley,CA,94708
330,3733 YORKTOWN RD,Fremont,CA,94538
331,5217 PROCTOR AVE,Oakland,CA,94618
332,4665 DOLORES AVE,Oakland,CA,94602
333,3351 RIDGEFIELD WAY,Dublin,CA,94568
334,4830 MICHELLE WAY,Union City,CA,94587
335,2154 HAMPTON RD,Livermore,CA,94550
336,32387 CLAREMONT ST,Union City,CA,94587
337,2233 SOL ST,San Leandro,CA,94578
338,3780 FRANKLIN AVE,Fremont,CA,94538
339,6197 BROADWAY AVE,Newark,CA,94560
340,1620 GRAND AVE,Oakland,,94611
341,36552 MULBERRY ST,Newark,CA,94560
342,569 EGRET RD,Livermore,CA,94551
343,4579 CRISTY WAY,Castro Valley,CA,94546
344,2973 SACRAMENTO ST,Berkeley,CA,94703
345,7518 ROSEDALE CT,Pleasanton,CA,94588
346,668 RUBY RD,Livermore,CA,94550
347,36836 SYCAMORE ST,Newark,CA,94560
348,7601 ASPEN PL,Newark,CA,94560
349,3655 SPYGLASS CT,Castro Valley,CA,94546
350,2006 YOLO AVE,Berkeley,CA,94707
351,3294 CURTIS CIR,Pleasanton,CA,94588
352,608 BOULEVARD WAY,Piedmont,CA,94610
353,3908   35TH AVE,Oakland,CA,94619
354,2881 CRYSTAL CT,Castro Valley,CA,94546
355,928 RODNEY DR,San Leandro,CA,94577
356,1533 EL DORADO DR,Livermore,CA,94550
357,25890 SEAVER ST,Hayward,CA,94545
358,821 CORTEZ CT,Livermore,CA,94550
359,3930 LYMAN RD,Oakland,CA,94602
360,4058 SUTHERLAND CT,Pleasanton,CA,94588
361,552   45TH ST,Oakland,CA,94609
362,726 CARMEL AVE,Albany,CA,94706
363,22797 BAYVIEW AVE,Hayward,CA,94541
364,733 KAINS AVE,Albany,CA,94706
365,6368 LAFAYETTE AVE,Newark,CA,94560
366,5508 JONATHAN DR,Newark,CA,94560
367,186 B ST,Hayward,CA,94541
368,1635 VALLEY OF THE MOON PL,Livermore,CA,94550
369,1530 BERKELEY WAY,Berkeley,CA,94703
370,2401 FRANCES ST,Oakland,CA,94601
371,36875 REYNOLDS DR,Fremont,CA,94536
372,8001 HILLMONT DR,Oakland,CA,94605
373,15865 VIA SECO,San Lorenzo,CA,94580
374,4650 NORTHDALE DR,Fremont,CA,94536
375,1333   83RD AVE,Oakland,CA,94621
376,2306 STAR AVE,Castro Valley,CA,94546
377,15836 VIA TOLEDO,San Lorenzo,CA,94580
378,2368 AMATRICE WAY,Dublin,CA,94588
379,4852 PORTER ST,Fremont,CA,94538
380,1781 BRANDON ST,Oakland,CA,94611
381,3318 WASHINGTON CT,Alameda,CA,94501
382,3609 SAN LEANDRO ST,Oakland,CA,94601
383,2727 LAS AROMAS,Oakland,CA,94611
384,6280 PASEO SANTA CRUZ,Pleasanton,CA,94566
385,1229 BELLINA ST,Hayward,CA,94541
386,16542 RUSSELL CT,San Leandro,CA,94578
387,2677 LOTUS ST,Pleasanton,CA,94588
388,1130 MANOR BLVD,San Leandro,CA,94579
389,22888 VALLEY VIEW DR,Hayward,CA,94541
390,6474 BAYVIEW DR,Oakland,,94605
391,1012 SANTA INES CT,Oakland,CA,94601
392,3911 VALE AVE,Oakland,CA,94619
393,14878 BANCROFT AVE,San Leandro,CA,94578
394,157 GARNET DR,Livermore,CA,94550
395,4177 RANDOLPH AVE,Oakland,CA,94602
396,4605 KORBEL ST,Union City,CA,94587
397,417 LINCOLN AVE,Alameda,CA,94501
398,1545 JOSEPHINE ST,Berkeley,CA,94703
399,1629   81ST AVE,Oakland,CA,94621
400,871   45TH ST,Emeryville,CA,94608
401,12800 BROOKPARK RD,Oakland,CA,94619
402,1211 CEDAR ST,Berkeley,CA,94702
403,1335 HOLLYHOCK ST,Livermore,CA,94551
404,2105   19TH AVE,Oakland,CA,94606
405,2621 WALLACE ST,Oakland,CA,94606
406,971 VIA SEVILLE,Livermore,CA,94550
407,296 WRIGHT BROTHERS AVE,Livermore,CA,94551
408,2207 VICKSBURG AVE,Oakland,CA,94601
409,660 W WINTON AVE,Hayward,CA,94545
410,42619 LERWICK ST,Fremont,CA,94539
411,754 WALL ST,Livermore,CA,94550
412,6756 MANOR CRST,Oakland,CA,94618
413,9888 SAINT ELMO DR,Oakland,CA,94603
414,4237 FOOTHILL BLVD,Oakland,CA,94601
415,36264 BRIGHTON CT,Newark,CA,94560
416,5193 CHESNEY GLEN DR,Castro Valley,CA,94552
417,6908 SNAKE RD,Oakland,CA,94611
418,4629 LOCKRIDGE WAY,Castro Valley,CA,94546
419,48955 VENTURA DR,Fremont,CA,94539
420,35040 MOUNT PALOMAR CT,Fremont,CA,94536
421,2182 RESEARCH DR,Livermore,CA,94550
422,4304 PLANET CIR,Union City,CA,94587
423,1766 ALHAMBRA LN,Oakland,CA,94611
424,86 COMANCHE CT,Fremont,CA,94539
425,610 E 15TH ST,Oakland,CA,94606
426,1015   56TH ST,Emeryville,CA,94608
427,721 SANTA BARBARA RD,Berkeley,CA,94707
428,4132 GREENWOOD AVE,Oakland,CA,94602
429,33474   13TH ST,Union City,CA,94587
430,7990 SHAY DR,Oakland,CA,94605
431,4238 HOWE ST,Oakland,CA,94611
432,2720 DARLENE CT,Castro Valley,CA,94546
433,1289  100TH AVE,Oakland,CA,94603
434,33525  3RD ST,Union City,CA,94587
435,2155 STRANG AVE,San Leandro,CA,94578
436,865   77TH AVE,Oakland,CA,94621
437,14811 E 14TH ST,San Leandro,CA,94578
438,3408 BRITHORN LN,Alameda,CA,94502
439,7333 CIRCLE HILL DR,Oakland,CA,94605
440,2763 RITCHIE ST,Oakland,CA,94605
441,37075 BIRCH ST,Newark,CA,94560
442,3640 BRAXTON CMN,Fremont,CA,94538
443,39924 SAN SIMEON CT,Fremont,CA,94539
444,5332 GOLDEN GATE AVE,Oakland,CA,94618
445,1237 PURDUE ST,San Leandro,CA,94579
446,7323 STARWARD DR,Dublin,CA,94568
447,630 VICTORIA CT,San Leandro,CA,94577
448,4358 HEYER AVE,Castro Valley,CA,94546
449,15177 ORION RD,San Leandro,CA,94579
450,11036 ESTEPA DR,Oakland,CA,94603
451,2231 RYAN ST,Livermore,CA,94550
452,886 OLD OAK RD,Livermore,CA,94550
453,300 MACKINTOSH TER,Fremont,CA,94539
454,42610 SULLY ST,Fremont,CA,94539
455,45633 CHEYENNE PL,Fremont,CA,94539
456,5821 AYALA AVE,Oakland,CA,94609
457,3676 SANTA MARIA CT,Castro Valley,CA,94546
458,16775 COLUMBIA DR,Castro Valley,CA,94552
459,3633 WISCONSIN ST,Oakland,CA,94619
460,814   20TH ST,Oakland,CA,94607
461,1037   63RD ST,Emeryville,CA,94608
462,2445 BURLINGTON ST,Oakland,CA,94602
463,25662 PAUL CT,Hayward,CA,94541
464,9803 REIMERS WAY,Castro Valley,,94552
465,765 ELLEN ST,Hayward,CA,94544
466,225 BELLEVIEW DR,San Leandro,CA,94577
467,33058 CALISTOGA ST,Union City,CA,94587
468,21635 GAIL DR,Castro Valley,CA,94546
469,3712 SILVERA RANCH DR,Dublin,CA,94588
470,5306 PIAZZA CT,Pleasanton,CA,94588
471,6434 BUENA VENTURA AVE,Oakland,CA,94605
472,6424 FLANDERS PL,Newark,CA,94560
473,35505 ORLEANS DR,Newark,CA,94560
474,25859 SPRING DR,Hayward,CA,94542
475,3076 TALINGA DR,Livermore,CA,94550
476,1620 CORNELL AVE,Berkeley,CA,94702
477,2530 HERMOSA TER,Hayward,CA,94541
478,796 ROCK ROSE CT,Hayward,CA,94544
479,1924 ELDER WAY,Hayward,CA,94545
480,3649 CHELSEA CT,Pleasanton,CA,94588
481,7653 OUTLOOK AVE,Oakland,CA,94605
482,469 WASHINGTON BLVD,Fremont,CA,94539
483,23373 LILLA RD,Hayward,CA,94541
484,2232   87TH AVE,Oakland,CA,94605
485,6730 LAIRD AVE,Oakland,CA,94605
486,1130 TALBOT AVE,Albany,CA,94706
487,17816 COLUMBIA DR,Castro Valley,CA,94552
488,477 NORTH ST,Oakland,CA,94609
489,3557 TIMCO CT,Castro Valley,CA,94552
490,736 W A ST,Hayward,CA,94541
491,4046 AQUA VISTA ST,Oakland,CA,94601
492,16661 E 14TH ST,San Leandro,CA,94578
493,2889 HOPYARD RD,Pleasanton,CA,94566
494,6257 SMITH AVE,Newark,CA,94560
495,3929 WILSON AVE,Castro Valley,CA,94546
496,3016 KENNEDY ST,Livermore,CA,94551
497,23692 NEVADA RD,Hayward,CA,94541
498,32777 TULE LAKE LN,Fremont,CA,94555
499,820  100TH AVE,Oakland,CA,94603
500,26077 PETERMAN AVE,Hayward,CA,94545
501,2233 WINDLASS WAY,San Leandro,CA,94577
502,1044 PERALTA AVE,Albany,CA,94706
503,5287 WISTERIA WAY,Livermore,CA,94551
504,825  6TH AVE,Oakland,CA,94606
505,18913 NATALIE CT,Castro Valley,CA,94546
506,2695 W WINTON AVE,Hayward,,94545
507,3944 EMPIRE CT,Pleasanton,CA,94588
508,3760 MADEIRA WAY,Livermore,CA,94550
509,21030 NUNES AVE,Castro Valley,CA,94546
510,911 JONES ST,Berkeley,CA,94710
511,3900 ALLENDALE AVE,Oakland,CA,94619
512,24 OAKVALE AVE,Berkeley,CA,94705
513,928 VIA GRANADA,Livermore,CA,94550
514,25796 SCRIPPS ST,Hayward,CA,94545
515,1921  107TH AVE,Oakland,CA,94603
516,471   24TH ST,Oakland,CA,94612
517,25632 W CAMINO VIS,Hayward,CA,94541
518,4425 RAILROAD AVE,Pleasanton,CA,94566
519,1887 SERPENTINE DR,Union City,CA,94587
520,2706 CHINOOK CT,Union City,CA,94587
521,71 DUDLEY AVE,Piedmont,CA,94611
522,2114 CLINTON AVE,Alameda,CA,94501
523,15708 VIA COLUSA,San Lorenzo,CA,94580
524,31323 SANTA FE WAY,Union City,CA,94587
525,3425 HELEN ST,Emeryville,CA,94608
526,11597 SILVERGATE DR,Dublin,CA,94568
527,5237 DESIREE AVE,Livermore,CA,94550
528,2381 WOODTHRUSH WAY,Pleasanton,CA,94566
529,25358 OLD FAIRVIEW AVE,Hayward,CA,94542
530,16139 VIA ARRIBA,San Lorenzo,CA,94580
531,1368 SPRING VALLEY CMN,Livermore,CA,94551
532,2023   21ST AVE,Oakland,CA,94606
533,739 CHANNING WAY,Berkeley,CA,94710
534,7701 GREENLY DR,Oakland,CA,94605
535,15694 VASSAR AVE,San Lorenzo,CA,94580
536,6626 COLTON BLVD,Oakland,CA,94611
537,2126   41ST AVE,Oakland,CA,94601
538,634 FAIRVIEW ST,Oakland,CA,94609
539,5660 AMY DR,Oakland,CA,94618
540,3488 ARDEN RD,Hayward,CA,94545
541,37821 STARFLOWER ST,Newark,CA,94560
542,857 LESTER AVE,Hayward,CA,94541
543,1302 BENEDICT CT,Pleasanton,CA,94566
544,2107 SACRAMENTO ST,Berkeley,CA,94702
545,2319   24TH AVE,Oakland,CA,94601
546,1033   91ST AVE,Oakland,CA,94603
547,3050 PASEO GRANADA,Pleasanton,CA,94566
548,513 CAROBE CT,Union City,CA,94587
549,1555 SANTA CLARA AVE,Alameda,CA,94501
